Day,Month,Year,Reference
15,11,2011,Luke 12:49-13:30
16,11,2011,Luke 13:31-14:35
17,11,2011,Luke 15:1-32
18,11,2011,Luke 16:1-31
19,11,2011,Luke 17:1-37
20,11,2011,Luke 18:1-43
21,11,2011,Luke 19:1-48
22,11,2011,Luke 20:1-47
23,11,2011,Luke 21:1-38
24,11,2011,Luke 22:1-46
25,11,2011,Luke 22:47-71
26,11,2011,Luke 23:1-56
27,11,2011,Luke 24:1-53
28,11,2011,Acts 1:1-26
29,11,2011,Acts 2:1-47
30,11,2011,Acts 3:1-4:37
1,12,2011,Acts 5:1-42
2,12,2011,Acts 6:1-7:43
3,12,2011,Acts 7:44-8:40
4,12,2011,Acts 9:1-43
5,12,2011,Acts 10:1-48
6,12,2011,Acts 11:1-12:25
7,12,2011,Acts 13:1-52
8,12,2011,Acts 14:1-15:21
9,12,2011,Acts 15:22-16:24
10,12,2011,Acts 16:25-17:34
11,12,2011,Acts 18:1-28
12,12,2011,Acts 19:1-41
13,12,2011,Acts 20:1-38
14,12,2011,Acts 21:1-40
15,12,2011,Acts 22:1-23:11
16,12,2011,Acts 23:12-24:27
17,12,2011,Acts 25:1-26:32
18,12,2011,Acts 27:1-44
19,12,2011,Acts 28:1-31
20,12,2011,Ephesians 1:1-2:22
21,12,2011,Ephesians 3:1-4:32
22,12,2011,Ephesians 5:1-6:24
23,12,2011,Luke 1
24,12,2011,Luke 2
25,12,2011,"Matthew 1:18-25, John 1:1-18"
26,12,2011,2nd Corinthians 1:1-2:17
27,12,2011,2nd Corinthians 3:1-5:11
28,12,2011,2nd Corinthians 5:12-7:16
29,12,2011,2nd Corinthians 8:1-9:15
30,12,2011,2nd Corinthians 10:1-11:33
31,12,2011,2nd Corinthians 12:1-13:14
